"Site1","Site2","BetaNTI","RCBC","Assembly_Process.BetaNTI","Assembly_Process.RCBC","Assembly_Process","TempConditionType","EpochType","Assembly_Process_expl","StochasticDeterministic","RCBC.nona"
"D282.1","D271.1",-1.55405926503167,0.338,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.338
"D296.9","D271.1",-1.94774396456135,0.992,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.992
"D303.5","D271.1",-2.65949484365565,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.96
"D307.5","D271.1",-1.67591965633236,0.996,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.996
"D308.7","D271.1",-1.04629524320113,0.964,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",0.964
"D276.6","D275.0",-1.79279714700265,-0.174,NA,"Drift","Drift","Warm-Cold","Pre-LGS:LGS","Stochastic","Stochastic",-0.174
"D282.1","D275.0",-1.52489479494212,0.116,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.116
"D296.9","D275.0",-1.9662716369534,0.904,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.904
"D303.5","D275.0",-2.6593950185058,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.762
"D307.5","D275.0",-2.03514593387611,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS:LGS","Homogenous (abiotic) selection","Deterministic",0.89
"D308.7","D275.0",-1.45505793999781,0.744,NA,"Drift","Drift","Warm-Warm","Pre-LGS:LGS","Stochastic","Stochastic",0.744
"D282.1","D276.6",-1.36405185265163,-0.966,NA,"Homogenizing dispersal","Homogenizing dispersal","Warm-Cold","Pre-LGS","Stochastic","Stochastic",-0.966
"D296.9","D276.6",-1.20560829626686,-0.99,NA,"Homogenizing dispersal","Homogenizing dispersal","Warm-Cold","Pre-LGS","Stochastic","Stochastic",-0.99
"D303.5","D276.6",-2.1348193777518,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Pre-LGS","Homogenous (abiotic) selection","Deterministic",-0.816
"D307.5","D276.6",-1.06286030573053,-0.308,NA,"Drift","Drift","Warm-Cold","Pre-LGS","Stochastic","Stochastic",-0.308
"D308.7","D276.6",-1.43403676633902,0.596,NA,"Drift","Drift","Warm-Cold","Pre-LGS","Stochastic","Stochastic",0.596
"D296.9","D282.1",-2.03742531894369,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS","Homogenous (abiotic) selection","Deterministic",-0.998
"D303.5","D282.1",-3.0082424972899,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS","Homogenous (abiotic) selection","Deterministic",-0.886
"D307.5","D282.1",-3.25912503672103,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS","Homogenous (abiotic) selection","Deterministic",-0.606
"D308.7","D282.1",-1.74490276195455,0.144,NA,"Drift","Drift","Warm-Warm","Pre-LGS","Stochastic","Stochastic",0.144
"D303.5","D296.9",-1.35526281347375,-0.932,NA,"Drift","Drift","Warm-Warm","Pre-LGS","Stochastic","Stochastic",-0.932
"D307.5","D296.9",-0.925096996313323,0.012,NA,"Drift","Drift","Warm-Warm","Pre-LGS","Stochastic","Stochastic",0.012
"D308.7","D296.9",-1.57711018131831,0.94,NA,"Drift","Drift","Warm-Warm","Pre-LGS","Stochastic","Stochastic",0.94
"D307.5","D303.5",-1.33195300192711,-0.538,NA,"Drift","Drift","Warm-Warm","Pre-LGS","Stochastic","Stochastic",-0.538
"D308.7","D303.5",-1.98327705920919,0.176,NA,"Drift","Drift","Warm-Warm","Pre-LGS","Stochastic","Stochastic",0.176
"D308.7","D307.5",-3.16435823825385,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Pre-LGS","Homogenous (abiotic) selection","Deterministic",0.112
